;;;;;;;;;;;;10;1.42;0.25;0.0075;10;1.81;0.25;0.015;2.5;2.14;0.075;0.015;0.5;2.34;0.025;0.015;0.7;2.69;0.025;0.015;0.6;2.96;0.025;0.015;0.3;2.9;0.0075;0.015;0.18;1.89;0.0075;0.015;0.25;3.05;0.0075;0.0375;0.3;3.6;0.0075;0.0375;0.28;3.7;0.0075;0.0375;0.26;3.7;0.0075;0.0375;0.25;3.8;0.0075;0.0375
;;;;;;;;;;;;;;;;;;;;10;2.18;0.25;0.015;0.6;2.38;0.025;0.015;0.9;2.76;0.025;0.015;1.1;3.175;0.075;0.0375;0.4;3.075;0.025;0.0375;0.19;2.06;0.0075;0.015;0.29;3.3;0.0075;0.0375;0.4;3.825;0.025;0.0375;0.36;4;0.025;0.0375;0.3;4;0.0075;0.0375;0.28;4.075;0.0075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;0.76;2.42;0.025;0.015;1.5;2.84;0.075;0.015;2;3.25;0.075;0.0375;0.5;3.15;0.025;0.0375;0.2;2.21;0.0075;0.015;0.32;3.5;0.025;0.0375;0.6;4;0.025;0.0375;0.44;4.1;0.025;0.0375;0.4;4.3;0.025;0.0375;0.32;4.35;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;2.6;2.51;0.075;0.015;5;2.88;0.25;0.015;;;;;0.8;3.3;0.025;0.0375;0.21;2.36;0.0075;0.015;0.4;3.575;0.025;0.0375;1;4.25;0.025;0.0375;0.54;4.2;0.025;0.0375;0.5;4.4;0.025;0.0375;0.4;4.5;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3.325;0.25;0.0375;2;3.55;0.075;0.0375;0.25;2.82;0.0075;0.015;0.8;3.85;0.025;0.0375;2;4.6;0.075;0.0375;0.7;4.3;0.025;0.0375;0.6;4.5;0.025;0.0375;0.5;4.6;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;10;2.56;0.25;0.015;10;2.92;0.25;0.015;;;;;;;;;0.36;3.3;0.025;0.0375;1.5;4.2;0.075;0.0375;10;4.75;0.25;0.0375;0.8;4.4;0.025;0.0375;0.96;4.75;0.025;0.0375;0.6;4.675;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3.65;0.25;0.0375;0.4;3.325;0.025;0.0375;2.7;4.3;0.075;0.0375;;;;;0.9;4.45;0.025;0.0375;2;5.3;0.075;0.0375;0.8;4.8;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;3.4;0.025;0.0375;5.6;4.35;0.25;0.0375;;;;;1.5;4.75;0.075;0.0375;6;5.5;0.25;0.0375;1.1;5.1;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;3.475;0.025;0.0375;10;4.425;0.25;0.0375;;;;;3;5;0.075;0.0375;10;5.55;0.25;0.0375;1.5;5.3;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;3.55;0.025;0.0375;;;;;;;;;3.4;5.05;0.25;0.0375;;;;;2;5.5;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;3.75;0.075;0.0375;;;;;;;;;10;5.15;0.25;0.0375;;;;;2.5;5.675;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;3.95;0.075;0.0375;;;;;;;;;;;;;;;;;3;5.75;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;5.8;0.25;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4.05;0.25;0.0375;;;;;;;;;;;;;;;;;;;;
